Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,47,5547,3156,2304,501,765,3,1626,9222,652,4336
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta,47,5547,3156,2304,501,765,3,1626,9222,652,4336
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target,47,5547,3156,2304,501,765,3,1626,9222,652,4336
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work,47,5547,3156,2304,501,765,3,1626,9222,652,4336
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins,47,5547,3156,2304,501,765,3,1626,9222,652,4336
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache,39,4542,2531,1833,418,620,3,1391,7945,547,3671
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\compiler,1,70,43,30,3,10,0,17,100,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\util,1,60,28,22,5,6,0,26,177,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web,19,3078,1827,1333,305,411,3,840,4608,266,1786
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter,12,1738,1051,769,171,249,1,438,2467,168,1128
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\web\filter\simple,3,153,53,37,7,25,0,75,374,42,282
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding,6,881,545,410,72,129,0,207,1134,90,570
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\scaffolding-2.1.2\src\java\org\codehaus\groovy\grails\scaffolding\view,2,210,126,98,13,27,0,57,296,30,190
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org\grails,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org\grails\plugins,2,124,80,61,11,16,0,28,143,15,95
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\tomcat-7.0.55\src\java\org\grails\plugins\tomcat,2,124,80,61,11,16,0,28,143,15,95
